voucher_number,voucher_date,branch_code,supplier,status,amount
P000604,2025-07-08,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,404.00
P000605,2025-07-08,ACCOUNTS,GREEN-LAND-VEGETABLES,FINAL,710.00
P000606,2025-07-08,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1576.00
P000607,2025-07-08,ACCOUNTS,MURALYA-DAIRY,FINAL,1735.00
P000608,2025-07-08,ACCOUNTS,MURALYA-DAIRY,FINAL,1190.40
P000609,2025-07-08,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,961.00
P000610,2025-07-08,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,997.00
P000611,2025-07-08,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1425.00
P000612,2025-07-08,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,605.00
P000613,2025-07-08,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,561.00
P000614,2025-07-08,ACCOUNTS,MURALYA-DAIRY,FINAL,254.00
P000615,2025-07-08,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,2540.00
P000616,2025-07-08,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1876.20
P000617,2025-07-08,ACCOUNTS,JOHNY-BEEF-MERCHANT,FINAL,2520.00
P000618,2025-07-08,ACCOUNTS,K.ABDUL-MAJEED---KULAKADA,FINAL,1092.00
P000619,2025-07-08,ACCOUNTS,M.H TRADERS 9895683835,FINAL,22202.00
P000620,2025-07-08,ACCOUNTS,GREEN-LAND-VEGETABLES,FINAL,8367.01
P000621,2025-07-08,ACCOUNTS,A.ABDUL-SALAM,FINAL,12034.00
P000622,2025-07-08,ACCOUNTS,S S HALAL CHICKEN CENTRE 9495568969,FINAL,69007.80
P000623,2025-07-08,ACCOUNTS,ELANAD MILK PRIVATE LIMITES 7593883322S,FINAL,7734.06
P000097,2025-07-08,CGN,VALIYAVEEDANS-AGENCIES,FINAL,5887.85
P000098,2025-07-08,CGN,CHITRA-AGENCIES,FINAL,15664.03
P000099,2025-07-10,CGN,RAHIM-ENTERPRISES,FINAL,23389.96
P000100,2025-07-10,CGN,RAHIM-ENTERPRISES,FINAL,17340.59
P000101,2025-07-10,CGN,SNEHA-ENTERPRISES,FINAL,4884.85
P000102,2025-07-10,CGN,SNEHA-ENTERPRISES,FINAL,6032.90
P000103,2025-07-11,CGN,VOLUME-SALES,FINAL,35269.31
P000104,2025-07-11,CGN,TRAVANCORE-MARKETING-SYNDICATE,FINAL,6875.00
P000105,2025-07-11,CGN,K.V.J.-ENTERPRISES,FINAL,46446.00
P000106,2025-07-12,CGN,REEMS SODA PRODUCTS 9947520504,FINAL,4440.00
P000107,2025-07-14,CGN,V VENTURES 9074682810,FINAL,29445.00
P000108,2025-07-14,CGN,V VENTURES 9074682810,FINAL,26760.00
P000624,2025-07-14,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,554.00
P000625,2025-07-14,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,785.00
P000626,2025-07-14,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,567.00
P000627,2025-07-14,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1617.00
P000628,2025-07-14,ACCOUNTS,MURALYA-DAIRY,FINAL,1007.00
P000629,2025-07-14,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,880.25
P000630,2025-07-14,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1489.00
P000631,2025-07-14,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,548.00
P000632,2025-07-14,ACCOUNTS,MURALYA-DAIRY,FINAL,376.11
P000633,2025-07-14,ACCOUNTS,M.H TRADERS 9895683835,FINAL,25149.80
P000634,2025-07-14,ACCOUNTS,K.ABDUL-MAJEED---KULAKADA,FINAL,931.43
P000635,2025-07-14,ACCOUNTS,MURALYA-DAIRY,FINAL,488.00
P000109,2025-07-14,CGN,COMMERCIAL-COMBINES,FINAL,49087.17
P000636,2025-07-14,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1404.14
P000637,2025-07-14,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1941.64
P000638,2025-07-14,ACCOUNTS,MURALYA-DAIRY,FINAL,823.00
P000639,2025-07-14,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,939.00
P000640,2025-07-14,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,788.00
P000641,2025-07-14,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,766.00
P000642,2025-07-14,ACCOUNTS,JOHNY-BEEF-MERCHANT,FINAL,4680.00
P000643,2025-07-14,ACCOUNTS,MURALYA-DAIRY,FINAL,1874.50
P000644,2025-07-14,ACCOUNTS,M.H TRADERS 9895683835,FINAL,26014.40
P000645,2025-07-14,ACCOUNTS,K.ABDUL-MAJEED---KULAKADA,FINAL,9378.98
P000646,2025-07-14,ACCOUNTS,GREEN-LAND-VEGETABLES,FINAL,3675.00
P000647,2025-07-14,ACCOUNTS,A.ABDUL-SALAM,FINAL,2846.00
P000648,2025-07-14,ACCOUNTS,KRISHNA COCONUT DEALER 9447989851,FINAL,7500.00
P000649,2025-07-14,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,700.00
P000650,2025-07-14,ACCOUNTS,JOHNY-BEEF-MERCHANT,FINAL,1800.00
P000651,2025-07-14,ACCOUNTS,MURALYA-DAIRY,FINAL,2499.33
P000652,2025-07-14,ACCOUNTS,K.ABDUL-MAJEED---KULAKADA,FINAL,780.50
P000653,2025-07-14,ACCOUNTS,GREEN-LAND-VEGETABLES,FINAL,8268.02
P000654,2025-07-14,ACCOUNTS,M.H TRADERS 9895683835,FINAL,20436.50
P000655,2025-07-14,ACCOUNTS,ELANAD MILK PRIVATE LIMITES 7593883322S,FINAL,8205.10
P000656,2025-07-14,ACCOUNTS,ELANAD MILK PRIVATE LIMITES 7593883322S,FINAL,8008.10
P000657,2025-07-15,ACCOUNTS,AUGUST FOOD INGREDIENTS 9847716158,FINAL,1784.00
P000658,2025-07-15,ACCOUNTS,COCHIN-BAKERS-AND-SPICES,FINAL,15213.01
P000659,2025-07-15,ACCOUNTS,COCHIN-BAKERS-AND-SPICES,FINAL,30229.82
P000660,2025-07-15,ACCOUNTS,ENRICH ASSOCIATE 9895683835,FINAL,11550.00
P000661,2025-07-15,ACCOUNTS,HOTELIERS-CHOICE,FINAL,9801.56
P000662,2025-07-15,ACCOUNTS,HOTELIERS-CHOICE,FINAL,13494.00
P000663,2025-07-15,ACCOUNTS,HOTELIERS-CHOICE,FINAL,899.98
P000664,2025-07-15,ACCOUNTS,HOTELIERS-CHOICE,FINAL,8300.00
P000665,2025-07-15,ACCOUNTS,HOTELIERS-CHOICE,FINAL,16193.00
P000666,2025-07-15,ACCOUNTS,MAMVILAYIL-MEDINEEDS,FINAL,6884.50
P000667,2025-07-15,ACCOUNTS,NANDHUS-BHARAT-GAS,FINAL,46312.00
P000668,2025-07-15,ACCOUNTS,NANDHUS-BHARAT-GAS,FINAL,39696.00
P000669,2025-07-15,ACCOUNTS,Q BAGS PVT LTD,FINAL,20679.90
P000670,2025-07-15,ACCOUNTS,SIBI-STORE,FINAL,86553.40
P000671,2025-07-15,ACCOUNTS,SIBI-STORE,FINAL,114409.52
P000672,2025-07-15,ACCOUNTS,SUPER-TRADERS,FINAL,97761.75
P000673,2025-07-15,ACCOUNTS,USHAS-ENTERPRISES,FINAL,17088.00
P000674,2025-07-15,ACCOUNTS,VINOD--CO,FINAL,8000.00
P000675,2025-07-15,ACCOUNTS,VALIYAVEEDANS-AGENCIES,FINAL,29196.08
P000110,2025-07-15,CGN,CHITRA-AGENCIES,FINAL,12846.13
P000111,2025-07-15,CGN,A.K.M ENTERPRISES 9249773639,FINAL,17289.03
P000676,2025-07-16,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,631.00
P000677,2025-07-16,ACCOUNTS,MURALYA-DAIRY,FINAL,487.00
P000678,2025-07-16,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,410.00
P000679,2025-07-16,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1856.00
P000680,2025-07-16,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,2090.00
P000681,2025-07-16,ACCOUNTS,MURALYA-DAIRY,FINAL,1188.00
P000682,2025-07-16,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1516.00
P000683,2025-07-16,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1488.00
P000684,2025-07-16,ACCOUNTS,MURALYA-DAIRY,FINAL,375.00
P000685,2025-07-16,ACCOUNTS,MURALYA-DAIRY,FINAL,254.00
P000686,2025-07-16,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,2440.00
P000687,2025-07-16,ACCOUNTS,JOHNY-BEEF-MERCHANT,FINAL,2880.00
P000688,2025-07-16,ACCOUNTS,MURALYA-DAIRY,FINAL,2439.00
P000689,2025-07-16,ACCOUNTS,M.H TRADERS 9895683835,FINAL,29801.00
P000690,2025-07-16,ACCOUNTS,K.ABDUL-MAJEED---KULAKADA,FINAL,2571.00
P000691,2025-07-16,ACCOUNTS,GREEN-LAND-VEGETABLES,FINAL,10126.00
P000692,2025-07-16,ACCOUNTS,A.ABDUL-SALAM,FINAL,11859.00
P000693,2025-07-16,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,503.00
P000694,2025-07-16,ACCOUNTS,MURALYA-DAIRY,FINAL,488.00
P000695,2025-07-16,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1651.00
P000696,2025-07-16,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,2144.00
P000697,2025-07-16,ACCOUNTS,MURALYA-DAIRY,FINAL,1342.00
P000698,2025-07-16,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,861.00
P000699,2025-07-16,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1118.00
P000700,2025-07-16,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1341.00
P000701,2025-07-16,ACCOUNTS,MURALYA-DAIRY,FINAL,254.00
P000702,2025-07-16,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,744.00
P000703,2025-07-16,ACCOUNTS,MURALYA-DAIRY,FINAL,254.00
P000704,2025-07-16,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,2862.00
P000705,2025-07-16,ACCOUNTS,JOHNY-BEEF-MERCHANT,FINAL,1800.00
P000706,2025-07-16,ACCOUNTS,MURALYA-DAIRY,FINAL,2002.00
P000707,2025-07-16,ACCOUNTS,M.H TRADERS 9895683835,FINAL,21493.00
P000708,2025-07-16,ACCOUNTS,A.ABDUL-SALAM,FINAL,5089.00
P000709,2025-07-16,ACCOUNTS,GREEN-LAND-VEGETABLES,FINAL,11690.00
P000710,2025-07-16,ACCOUNTS,A.ABDUL-SALAM,FINAL,2092.00
P000711,2025-07-16,ACCOUNTS,S S HALAL CHICKEN CENTRE 9495568969,FINAL,62000.00
P000712,2025-07-16,ACCOUNTS,ELANAD MILK PRIVATE LIMITES 7593883322S,FINAL,7621.10
P000713,2025-07-16,ACCOUNTS,ELANAD MILK PRIVATE LIMITES 7593883322S,FINAL,7881.00
P000714,2025-07-16,ACCOUNTS,ELANAD MILK PRIVATE LIMITES 7593883322S,FINAL,4984.58
P000715,2025-07-16,ACCOUNTS,ELANAD MILK PRIVATE LIMITES 7593883322S,FINAL,8197.10
P000716,2025-07-16,ACCOUNTS,ELANAD MILK PRIVATE LIMITES 7593883322S,FINAL,7951.05
P000717,2025-07-16,ACCOUNTS,JOHNY-BEEF-MERCHANT,FINAL,5040.00
P000718,2025-07-16,ACCOUNTS,MURALYA-DAIRY,FINAL,2500.00
P000719,2025-07-16,ACCOUNTS,ABRAHAM AND SONS 8281344674,FINAL,11250.00
P000720,2025-07-16,ACCOUNTS,A.ABDUL-SALAM,FINAL,12237.40
P000721,2025-07-16,ACCOUNTS,M.H TRADERS 9895683835,FINAL,24225.00
P000722,2025-07-16,ACCOUNTS,K.ABDUL-MAJEED---KULAKADA,FINAL,7425.25
P000723,2025-07-16,ACCOUNTS,KRISHNA COCONUT DEALER 9447989851,FINAL,7500.00
P000724,2025-07-16,ACCOUNTS,ELANAD MILK PRIVATE LIMITES 7593883322S,FINAL,8046.00
P000725,2025-07-16,ACCOUNTS,SAGAR AGENCIES 9446377469,FINAL,18813.38
P000112,2025-07-16,CGN,VALIYAVEEDANS-AGENCIES,FINAL,25811.94
P000726,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1286.00
P000727,2025-07-17,ACCOUNTS,MURALYA-DAIRY,FINAL,487.00
P000728,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1493.00
P000729,2025-07-17,ACCOUNTS,JOHNY-BEEF-MERCHANT,FINAL,1800.00
P000730,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1306.00
P000731,2025-07-17,ACCOUNTS,MURALYA-DAIRY,FINAL,822.00
P000732,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,847.00
P000734,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,847.00
P000735,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1216.00
P000736,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1208.00
P000737,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,780.00
P000738,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,292.00
P000739,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,2550.00
P000740,2025-07-17,ACCOUNTS,MURALYA-DAIRY,FINAL,2496.00
P000741,2025-07-17,ACCOUNTS,K.ABDUL-MAJEED---KULAKADA,FINAL,1788.00
P000742,2025-07-17,ACCOUNTS,GREEN-LAND-VEGETABLES,FINAL,8284.00
P000743,2025-07-17,ACCOUNTS,K.ABDUL-MAJEED---KULAKADA,FINAL,2874.00
P000744,2025-07-17,ACCOUNTS,S S HALAL CHICKEN CENTRE 9495568969,FINAL,58000.00
P000745,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,348.00
P000746,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,320.00
P000747,2025-07-17,ACCOUNTS,GREEN-LAND-VEGETABLES,FINAL,740.00
P000748,2025-07-17,ACCOUNTS,MURALYA-DAIRY,FINAL,152.00
P000749,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,735.00
P000750,2025-07-17,ACCOUNTS,MURALYA-DAIRY,FINAL,822.00
P000751,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1376.00
P000752,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,959.00
P000753,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,988.00
P000754,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,407.00
P000755,2025-07-17,ACCOUNTS,MURALYA-DAIRY,FINAL,436.33
P000756,2025-07-17,ACCOUNTS,MURALYA-DAIRY,FINAL,314.00
P000757,2025-07-17,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,660.00
P000758,2025-07-17,ACCOUNTS,JOHNY-BEEF-MERCHANT,FINAL,1800.00
P000759,2025-07-17,ACCOUNTS,MURALYA-DAIRY,FINAL,2372.00
P000760,2025-07-17,ACCOUNTS,M.H TRADERS 9895683835,FINAL,27588.00
P000761,2025-07-17,ACCOUNTS,M.H TRADERS 9895683835,FINAL,22833.00
P000762,2025-07-17,ACCOUNTS,GREEN-LAND-VEGETABLES,FINAL,14401.00
P000763,2025-07-17,ACCOUNTS,A.ABDUL-SALAM,FINAL,2413.00
P000764,2025-07-17,ACCOUNTS,K.ABDUL-MAJEED---KULAKADA,FINAL,636.00
P000765,2025-07-17,ACCOUNTS,KRISHNA COCONUT DEALER 9447989851,FINAL,3750.00
P000766,2025-07-17,ACCOUNTS,VEEKAY-SCIENTIFIC-TRADERS,FINAL,1357.00
P000767,2025-07-17,ACCOUNTS,ABRAHAM AND SONS 8281344674,FINAL,8800.00
P000768,2025-07-17,ACCOUNTS,ABRAHAM AND SONS 8281344674,FINAL,8800.00
P000113,2025-07-17,CGN,ZAM-ZAM-TRADE-LINK,FINAL,31542.53
P000769,2025-07-17,ACCOUNTS,ABRAHAM AND SONS 8281344674,FINAL,8800.00
P000114,2025-07-17,CGN,SREE-SIVA-AGENCIES,FINAL,13103.19
P000115,2025-07-17,CGN,A.S.K-ENTERPRISES,FINAL,12024.45
P000770,2025-07-18,ACCOUNTS,VINOD--CO,FINAL,14305.00
P000771,2025-07-18,ACCOUNTS,VINOD--CO,FINAL,21600.00
P000772,2025-07-18,ACCOUNTS,VALIYAVEEDANS-AGENCIES,FINAL,48448.19
P000773,2025-07-18,ACCOUNTS,COCHIN-BAKERS-AND-SPICES,FINAL,12883.03
P000774,2025-07-18,ACCOUNTS,NALLA-FOODS,FINAL,16576.00
P000775,2025-07-18,ACCOUNTS,SUNRISE HAIWA 9946315232,FINAL,19040.00
P000776,2025-07-18,ACCOUNTS,SIBI-STORE,FINAL,108075.30
P000777,2025-07-18,ACCOUNTS,NANDHUS-BHARAT-GAS,FINAL,59544.00
P000778,2025-07-18,ACCOUNTS,SUPER-TRADERS,FINAL,119122.94
P000779,2025-07-18,ACCOUNTS,SUPER-TRADERS,FINAL,1848.00
P000780,2025-07-18,ACCOUNTS,SUPER-TRADERS,FINAL,13200.01
P000781,2025-07-18,ACCOUNTS,HOTELIERS-CHOICE,FINAL,21591.00
P000782,2025-07-18,ACCOUNTS,HOTELIERS-CHOICE,FINAL,16749.91
P000783,2025-07-18,ACCOUNTS,HOTELIERS-CHOICE,FINAL,11525.82
P000784,2025-07-18,ACCOUNTS,MURALYA-DAIRY,FINAL,486.60
P000785,2025-07-18,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,840.00
P000786,2025-07-18,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1347.50
P000787,2025-07-18,ACCOUNTS,MURALYA-DAIRY,FINAL,1187.40
P000788,2025-07-18,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,665.00
P000789,2025-07-18,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1170.75
P000790,2025-07-18,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,922.00
P000791,2025-07-18,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1570.00
P000792,2025-07-18,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1395.00
P000793,2025-07-18,ACCOUNTS,JOHNY-BEEF-MERCHANT,FINAL,1800.00
P000794,2025-07-18,ACCOUNTS,MURALYA-DAIRY,FINAL,1504.50
P000795,2025-07-18,ACCOUNTS,M.H TRADERS 9895683835,FINAL,25254.60
P000796,2025-07-18,ACCOUNTS,K.ABDUL-MAJEED---KULAKADA,FINAL,3727.99
P000797,2025-07-18,ACCOUNTS,GREEN-LAND-VEGETABLES,FINAL,4589.99
P000798,2025-07-18,ACCOUNTS,A.ABDUL-SALAM,FINAL,3303.01
P000799,2025-07-18,ACCOUNTS,S S HALAL CHICKEN CENTRE 9495568969,FINAL,42000.00
P000800,2025-07-18,ACCOUNTS,ELANAD MILK PRIVATE LIMITES 7593883322S,FINAL,6935.58
P000801,2025-07-18,ACCOUNTS,ELANAD MILK PRIVATE LIMITES 7593883322S,FINAL,7909.07
P000802,2025-07-18,ACCOUNTS,ELANAD MILK PRIVATE LIMITES 7593883322S,FINAL,8889.38
P000116,2025-07-18,CGN,VARIETY FASHION 9995304220,FINAL,15139.20
P000117,2025-07-19,CGN,VALIYAVEEDANS-AGENCIES,FINAL,8182.23
P000803,2025-07-19,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,519.00
P000804,2025-07-19,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,704.00
P000805,2025-07-19,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1173.00
P000806,2025-07-19,ACCOUNTS,MURALYA-DAIRY,FINAL,1189.00
P000807,2025-07-19,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,445.00
P000808,2025-07-19,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,952.00
P000809,2025-07-19,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,760.00
P000810,2025-07-19,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,752.00
P000811,2025-07-19,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1798.00
P000812,2025-07-19,ACCOUNTS,JOHNY-BEEF-MERCHANT,FINAL,1800.00
P000813,2025-07-19,ACCOUNTS,MURALYA-DAIRY,FINAL,757.39
P000814,2025-07-19,ACCOUNTS,M.H TRADERS 9895683835,FINAL,16144.00
P000815,2025-07-19,ACCOUNTS,K.ABDUL-MAJEED---KULAKADA,FINAL,1125.00
P000816,2025-07-19,ACCOUNTS,GREEN-LAND-VEGETABLES,FINAL,5527.01
P000817,2025-07-19,ACCOUNTS,A.ABDUL-SALAM,FINAL,2184.01
P000818,2025-07-19,ACCOUNTS,MURALYA-DAIRY,FINAL,487.00
P000819,2025-07-19,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,340.00
P000820,2025-07-19,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1160.00
P000821,2025-07-19,ACCOUNTS,MURALYA-DAIRY,FINAL,457.00
P000822,2025-07-19,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,502.00
P000823,2025-07-19,ACCOUNTS,MURALYA-DAIRY,FINAL,883.67
P000824,2025-07-19,ACCOUNTS,MURALYA-DAIRY,FINAL,314.00
P000825,2025-07-19,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1099.00
P000826,2025-07-19,ACCOUNTS,JOHNY-BEEF-MERCHANT,FINAL,2880.00
P000827,2025-07-19,ACCOUNTS,M.H TRADERS 9895683835,FINAL,18416.00
P000828,2025-07-19,ACCOUNTS,K.ABDUL-MAJEED---KULAKADA,FINAL,6670.01
P000829,2025-07-19,ACCOUNTS,GREEN-LAND-VEGETABLES,FINAL,12763.00
P000830,2025-07-19,ACCOUNTS,A.ABDUL-SALAM,FINAL,3452.01
P000831,2025-07-19,ACCOUNTS,S S HALAL CHICKEN CENTRE 9495568969,FINAL,53008.00
P000832,2025-07-19,ACCOUNTS,GLORY-PACKAGE,FINAL,90546.00
P000118,2025-07-19,CGN,SACHINA-AGENCIES,FINAL,24401.03
P000833,2025-07-19,ACCOUNTS,GLORY-PACKAGE,FINAL,20608.00
P000834,2025-07-19,ACCOUNTS,SKM EGG PRODUCTS EXPORT(INDIA) LIMITED 4242351532,FINAL,22002.80
P000835,2025-07-19,ACCOUNTS,TISSCORP,FINAL,24957.00
P000836,2025-07-19,ACCOUNTS,PRABHATH FOODS ,FINAL,52710.00
P000837,2025-07-19,ACCOUNTS,SARANGI FOODS 9645054053,FINAL,34750.04
P000838,2025-07-19,ACCOUNTS,FORTUNE-COMMERCIAL-CO,FINAL,118500.10
P000839,2025-07-19,ACCOUNTS,KUTTIYILS-TRADES--AGENCIES,FINAL,8820.00
P000840,2025-07-19,ACCOUNTS,CALCUTTA TRADING CO 9447068888,FINAL,9540.00
P000841,2025-07-19,ACCOUNTS,VALAVI-AGENCIES,FINAL,7212.85
P000842,2025-07-19,ACCOUNTS,P.K.V.-TRADERS,FINAL,22700.00
P000843,2025-07-19,ACCOUNTS,SURABHI OIL INDUSTRIES 8926555566,FINAL,57875.00
P000844,2025-07-19,ACCOUNTS,SKM EGG PRODUCTS EXPORT(INDIA) LIMITED 4242351532,FINAL,20616.80
P000845,2025-07-19,ACCOUNTS,VELLATHARAYIL GREEN BIO COMPOSTABLES,FINAL,36812.50
P000846,2025-07-19,ACCOUNTS,AUGUST FOOD INGREDIENTS 9847716158,FINAL,4041.00
P000847,2025-07-21,ACCOUNTS,MALLIGHA-ASAFOETIDA-COMPANY,FINAL,3504.99
P000848,2025-07-21,ACCOUNTS,FRESH-FOOD,FINAL,3528.00
P000849,2025-07-21,ACCOUNTS,SIBI-STORE,FINAL,84690.51
P000850,2025-07-21,ACCOUNTS,MAMVILAYIL-MEDINEEDS,FINAL,6884.50
P000851,2025-07-21,ACCOUNTS,NANDHUS-BHARAT-GAS,FINAL,44658.00
P000852,2025-07-21,ACCOUNTS,ENRICH ASSOCIATE 9895683835,FINAL,7350.00
P000853,2025-07-21,ACCOUNTS,HOTELIERS-CHOICE,FINAL,20748.90
P000854,2025-07-21,ACCOUNTS,HOTELIERS-CHOICE,FINAL,6173.76
P000855,2025-07-21,ACCOUNTS,HOTELIERS-CHOICE,FINAL,16193.00
P000856,2025-07-21,ACCOUNTS,AUGUST FOOD INGREDIENTS 9847716158,FINAL,1797.00
P000857,2025-07-21,ACCOUNTS,QUICK FOODS 9746597358,FINAL,1761.00
P000858,2025-07-21,ACCOUNTS,A.S.K-ENTERPRISES,FINAL,16800.00
P000859,2025-07-21,ACCOUNTS,USHAS-ENTERPRISES,FINAL,36126.47
P000861,2025-07-21,ACCOUNTS,NKP-TRADES-IMPEX,FINAL,50567.95
P000862,2025-07-21,ACCOUNTS,E-P-JOSEPH--COMPANY,FINAL,60870.00
P000119,2025-07-21,CGN,COMMERCIAL-COMBINES,FINAL,33611.33
P000863,2025-07-21,ACCOUNTS,CACOBEAN-CHOCOLATIER-PVT-LTD,FINAL,10620.00
P000864,2025-07-21,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,217.03
P000865,2025-07-21,ACCOUNTS,MURALYA-DAIRY,FINAL,486.60
P000866,2025-07-21,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1469.00
P000867,2025-07-21,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,571.00
P000868,2025-07-21,ACCOUNTS,MURALYA-DAIRY,FINAL,821.40
P000869,2025-07-21,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,652.00
P000870,2025-07-21,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,639.00
P000871,2025-07-21,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1146.00
P000872,2025-07-21,ACCOUNTS,MURALYA-DAIRY,FINAL,375.00
P000873,2025-07-21,ACCOUNTS,MURALYA-DAIRY,FINAL,314.00
P000874,2025-07-21,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,1181.00
P000875,2025-07-21,ACCOUNTS,MURALYA-DAIRY,FINAL,2245.50
P000876,2025-07-21,ACCOUNTS,JOHNY-BEEF-MERCHANT,FINAL,3600.00
P000877,2025-07-21,ACCOUNTS,M.H TRADERS 9895683835,FINAL,17679.00
P000878,2025-07-21,ACCOUNTS,GREEN-LAND-VEGETABLES,FINAL,13228.30
P000879,2025-07-21,ACCOUNTS,S S HALAL CHICKEN CENTRE 9495568969,FINAL,49008.00
P000880,2025-07-21,ACCOUNTS,A.ABDUL-SALAM,FINAL,2743.62
P000881,2025-07-21,ACCOUNTS,ELANAD MILK PRIVATE LIMITES 7593883322S,FINAL,6858.35
P000882,2025-07-21,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,370.00
P000883,2025-07-21,ACCOUNTS,GREEN-LAND-VEGETABLES,FINAL,570.00
P000884,2025-07-21,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,223.00
P000885,2025-07-21,ACCOUNTS,MURALYA-DAIRY,FINAL,152.00
P000886,2025-07-21,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,787.00
P000887,2025-07-21,ACCOUNTS,MURALYA-DAIRY,FINAL,1340.00
P000888,2025-07-21,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,968.89
P000889,2025-07-21,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,444.22
P000890,2025-07-21,ACCOUNTS,SALIM FRUITS 9895683835,FINAL,415.00
